target_age,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
20-40,0.0,fomr,All,60-80,-1.4133724469412208,0.195253977412253,0.2751026683643716,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.07345770757537542,0.0678297542645153,0.07908566088623555
20-40,0.0,fomr,All,80+,0.4148510148420155,0.6891527466214955,0.7236103839525703,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.06271783463107153,0.040604064611403146,0.08483160465073991
20-40,0.05,fomr,All,0-20,-0.8705792363150603,0.4093460592064331,0.5056627790197115,0.07519110711759444,0.06591244384663181,0.08446977038855707,0.08969776226164322,0.06199918649763922,0.11739633802564722
20-40,0.05,fomr,All,20-40,-1.4089850706504947,0.19650190597455114,0.2751026683643716,0.07519110711759444,0.06591244384663181,0.08446977038855707,0.08572927624283463,0.0764655066590773,0.09499304582659197
20-40,0.05,fomr,All,40-60,1.6539575539175937,0.1367341246918766,0.23928471821078404,0.07519110711759444,0.06591244384663181,0.08446977038855707,0.06375670233059756,0.05596009704320745,0.07155330761798767
20-40,0.05,fomr,All,60-80,-0.6889225190647025,0.5103543306790823,0.5954133857922628,0.07519110711759444,0.06591244384663181,0.08446977038855707,0.08055712385324347,0.07053959647236235,0.09057465123412459
20-40,0.05,fomr,All,80+,-1.5417400536993284,0.16170749084446456,0.2612197929025966,0.07519110711759444,0.06591244384663181,0.08446977038855707,0.09084457209457208,0.07565555771275857,0.1060335864763856
20-40,0.1,fomr,All,0-20,-2.5324993318197393,0.035118500369777955,0.10535550110933387,0.0684839263125945,0.06394503898449386,0.07302281364069516,0.08380623510049409,0.07422008890805558,0.0933923812929326
20-40,0.1,fomr,All,20-40,-2.2110656786874134,0.05798455780386235,0.12334002044105151,0.0684839263125945,0.06394503898449386,0.07302281364069516,0.07884739454079148,0.07199813250272835,0.08569665657885461
20-40,0.1,fomr,All,40-60,2.3050929420022053,0.05007117081267331,0.12334002044105151,0.0684839263125945,0.06394503898449386,0.07302281364069516,0.05966164782003617,0.054720503497791624,0.06460279214228072
20-40,0.1,fomr,All,60-80,-0.13771938723107444,0.8938654014730933,0.8938654014730933,0.0684839263125945,0.06394503898449386,0.07302281364069516,0.06894731695265442,0.0651801704032044,0.07271446350210445
20-40,0.1,fomr,All,80+,-1.470771565487179,0.17955788862846533,0.20481884117566998,0.0684839263125945,0.06394503898449386,0.07302281364069516,0.07932657993141862,0.067226253927978,0.09142690593485923
20-40,0.25,fomr,All,0-20,-3.7649273618386654,0.005505408967183808,0.016516226901551422,0.07736488527596089,0.07314329667092867,0.0815864738809931,0.1089378792234313,0.09485587166214811,0.1230198867847145
20-40,0.25,fomr,All,20-40,-2.1456959454230504,0.06420429233418293,0.11235751158482013,0.07736488527596089,0.07314329667092867,0.0815864738809931,0.0885814108495053,0.08044775364045875,0.09671506805855185
20-40,0.25,fomr,All,40-60,3.3145386375224737,0.01062613101821675,0.02789359392281897,0.07736488527596089,0.07314329667092867,0.0815864738809931,0.06604805724935488,0.06180500927092831,0.07029110522778145
20-40,0.25,fomr,All,60-80,0.32483961517166493,0.7536342936550495,0.7536342936550495,0.07736488527596089,0.07314329667092867,0.0815864738809931,0.07578151414765025,0.06835228471811318,0.08321074357718732
20-40,0.25,fomr,All,80+,-1.6336203556176354,0.14098042168293642,0.17415228560833323,0.07736488527596089,0.07314329667092867,0.0815864738809931,0.10396304675716439,0.07573436742477828,0.13219172608955052
20-40,0.5,fomr,All,0-20,-1.9818842274577033,0.08280688029869958,0.12421032044804936,0.06457434268347569,0.059232663408085195,0.06991602195886618,0.09638933459778239,0.06875949175388717,0.1240191774416776
20-40,0.5,fomr,All,20-40,-1.4492321380447568,0.1853122848732252,0.20481884117566998,0.06457434268347569,0.059232663408085195,0.06991602195886618,0.0738610855045734,0.06397877838924512,0.08374339261990169
20-40,0.5,fomr,All,40-60,2.1773745766429298,0.061112043794027876,0.11235751158482013,0.06457434268347569,0.059232663408085195,0.06991602195886618,0.05622927531628776,0.05215394284155005,0.06030460779102548
20-40,0.5,fomr,All,60-80,0.8900185256387861,0.3994287790039712,0.4194002179541698,0.06457434268347569,0.059232663408085195,0.06991602195886618,0.06042260293847039,0.05423074703668928,0.06661445884025151
20-40,0.5,fomr,All,80+,7.032573168282048,0.00010904150693899001,0.0005724679114296976,0.06457434268347569,0.059232663408085195,0.06991602195886618,0.04086749482401654,0.03833985591423809,0.04339513373379499
20-40,0.75,fomr,All,0-20,-2.6781919656896003,0.02800436646130042,0.05880916956873088,0.07776463558220051,0.0718192242331236,0.08371004693127741,0.11964419745460413,0.09288388951034601,0.14640450539886224
20-40,0.75,fomr,All,20-40,-6.3229706629187135,0.0002271031709221181,0.000953833317872896,0.07776463558220051,0.0718192242331236,0.08371004693127741,0.10221217984006334,0.09895725258081342,0.10546710709931326
20-40,0.75,fomr,All,40-60,3.228508175416157,0.012083987544731967,0.028195970937707926,0.07776463558220051,0.0718192242331236,0.08371004693127741,0.060748651265233974,0.053676143517178636,0.06782115901328932
20-40,0.75,fomr,All,60-80,1.7969078918582866,0.11007190682168452,0.15330770129736268,0.07776463558220051,0.0718192242331236,0.08371004693127741,0.06630225053436321,0.05683111954879551,0.07577338151993092
20-40,0.75,fomr,All,80+,1.7579780427258938,0.11680586765513347,0.15330770129736268,0.07776463558220051,0.0718192242331236,0.08371004693127741,0.0422222222222222,0.007281763763842243,0.07716268068060217
20-40,1.0,fomr,All,0-20,-4.387549563436096,0.0023251605195267547,0.008138061818343641,0.07770679097503458,0.07510299925936499,0.08031058269070417,0.14057619357816029,0.11559204295215114,0.16556034420416943
20-40,1.0,fomr,All,20-40,-8.394241894606575,3.0837611969706474e-05,0.00021586328378794532,0.07770679097503458,0.07510299925936499,0.08031058269070417,0.1097969840725739,0.10362180514018315,0.11597216300496466
20-40,1.0,fomr,All,40-60,9.807230223226904,9.814017946612366e-06,0.00010304718843942984,0.07770679097503458,0.07510299925936499,0.08031058269070417,0.05713227578173802,0.05453501808563349,0.059729533477842545
20-40,1.0,fomr,All,60-80,12.003935891891636,2.1385155873800373e-06,4.490882733498078e-05,0.07770679097503458,0.07510299925936499,0.08031058269070417,0.05126149721179102,0.04840918350880853,0.054113810914773505
20-40,1.0,fomr,All,80+,1.999537584209586,0.08057393793977828,0.12421032044804936,0.07770679097503458,0.07510299925936499,0.08031058269070417,0.04129702825354996,0.009482041571906838,0.07311201493519308
40-60,0.0,auroc,All,0-20,-10.729864412790029,5.004648085856003e-06,3.503253660099202e-05,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8912704402515723,0.8855456474840661,0.8969952330190786
40-60,0.0,auroc,All,20-40,-1.476450256107874,0.178067433846625,0.3116180092315937,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8554007321555179,0.8500276628219298,0.8607738014891061
